Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
24,28-Mar-10,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Group,177.0,8.0,160.0,6.0,Rajasthan Royals,Runs,17.0,Naman Ojha
25,28-Mar-10,"DY Patil Stadium, Mumbai",Mumbai Indians,Deccan Chargers,Deccan Chargers,Field,Group,172.0,7.0,131.0,10.0,Mumbai Indians,Runs,41.0,Harbhajan Singh
26,29-Mar-10,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Group,177.0,4.0,137.0,9.0,Delhi Daredevils,Runs,40.0,David Warner
27,30-Mar-10,"Brabourne Stadium, Mumbai",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Group,163.0,10.0,164.0,6.0,Mumbai Indians,Wickets,4.0,Lasith Malinga
28,31-Mar-10,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Group,161.0,4.0,162.0,5.0,Chennai Super Kings,Wickets,5.0,Murali Vijay
29,31-Mar-10,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Group,188.0,6.0,121.0,10.0,Delhi Daredevils,Runs,67.0,Dinesh Karthik
30,01-Apr-10,"Eden Gardens, Kolkata",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Bat,Group,181.0,6.0,157.0,5.0,Kolkata Knight Riders,Runs,24.0,Sourav Ganguly
31,02-Apr-10,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Group,181.0,5.0,184.0,4.0,Royal Challengers Bangalore,Wickets,6.0,Kevin Pietersen
32,03-Apr-10,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Group,246.0,5.0,223.0,5.0,Chennai Super Kings,Runs,23.0,Murali Vijay
33,03-Apr-10,"Brabourne Stadium, Mumbai",Mumbai Indians,Deccan Chargers,Mumbai Indians,Bat,Group,178.0,5.0,115.0,10.0,Mumbai Indians,Runs,63.0,Ambati Rayudu
34,04-Apr-10,"Eden Gardens, Kolkata",Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Group,200.0,3.0,204.0,2.0,Kings XI Punjab,Wickets,8.0,Mahela Jayawardene
35,04-Apr-10,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Bat,Group,184.0,5.0,147.0,9.0,Delhi Daredevils,Runs,37.0,Paul Collingwood
36,05-Apr-10,"Vidarbha Cricket Association Stadium, Nagpur",Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Bat,Group,159.0,10.0,157.0,10.0,Rajasthan Royals,Runs,2.0,Shane Warne
